Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/30/20,2/1/20,9/26/20,United States,All Sexes,All Ages,194091,2087504,197973,87714,6705,310055,
9/30/20,2/1/20,9/26/20,United States,All Sexes,Under 1 year,20,11719,105,3,16,138,
9/30/20,2/1/20,9/26/20,United States,All Sexes,0-17 years,95,20773,325,17,123,526,
9/30/20,2/1/20,9/26/20,United States,All Sexes,1-4 years,15,2233,75,2,42,130,
9/30/20,2/1/20,9/26/20,United States,All Sexes,5-14 years,32,3476,106,8,52,182,
9/30/20,2/1/20,9/26/20,United States,All Sexes,15-24 years,362,22385,455,131,53,735,
9/30/20,2/1/20,9/26/20,United States,All Sexes,18-29 years,868,39680,1070,361,100,1667,
9/30/20,2/1/20,9/26/20,United States,All Sexes,25-34 years,1513,46033,1664,673,151,2641,
9/30/20,2/1/20,9/26/20,United States,All Sexes,30-49 years,8982,138236,8328,4036,568,13763,
9/30/20,2/1/20,9/26/20,United States,All Sexes,35-44 years,3956,65059,3748,1751,250,6173,
9/30/20,2/1/20,9/26/20,United States,All Sexes,45-54 years,10389,119436,9754,4871,577,15744,
9/30/20,2/1/20,9/26/20,United States,All Sexes,50-64 years,31114,344843,32209,15104,1590,49526,
9/30/20,2/1/20,9/26/20,United States,All Sexes,55-64 years,24772,273191,26025,12079,1240,39739,
9/30/20,2/1/20,9/26/20,United States,All Sexes,65-74 years,41866,413865,44018,20292,1457,66808,
9/30/20,2/1/20,9/26/20,United States,All Sexes,75-84 years,51365,504433,54045,23954,1480,82728,
9/30/20,2/1/20,9/26/20,United States,All Sexes,85 years and over,59801,625674,57978,23950,1387,95037,
9/30/20,2/1/20,9/26/20,United States,Male,All Ages,104896,1089340,108473,49465,3455,166745,
9/30/20,2/1/20,9/26/20,United States,Male,Under 1 year,13,6487,65,2,8,84,
9/30/20,2/1/20,9/26/20,United States,Male,0-17 years,56,12218,181,11,64,290,
9/30/20,2/1/20,9/26/20,United States,Male,1-4 years,7,1305,37,1,25,68,
9/30/20,2/1/20,9/26/20,United States,Male,5-14 years,22,2062,54,7,23,92,
9/30/20,2/1/20,9/26/20,United States,Male,15-24 years,223,16595,283,82,27,448,
9/30/20,2/1/20,9/26/20,United States,Male,18-29 years,565,29116,662,223,53,1050,
9/30/20,2/1/20,9/26/20,United States,Male,25-34 years,1003,32519,1033,435,76,1668,
9/30/20,2/1/20,9/26/20,United States,Male,30-49 years,6140,90762,5272,2773,305,8888,
9/30/20,2/1/20,9/26/20,United States,Male,35-44 years,2698,42918,2383,1199,133,3992,
9/30/20,2/1/20,9/26/20,United States,Male,45-54 years,7063,75065,6101,3323,342,10111,
9/30/20,2/1/20,9/26/20,United States,Male,50-64 years,20335,213137,19699,9821,917,30937,
9/30/20,2/1/20,9/26/20,United States,Male,55-64 years,16067,168282,15858,7779,705,24702,
9/30/20,2/1/20,9/26/20,United States,Male,65-74 years,25722,240467,26462,12554,813,40288,
9/30/20,2/1/20,9/26/20,United States,Male,75-84 years,28239,262137,30261,13530,737,45589,
