COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,Heart disease_number,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,diabetes_number,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code,STAB
Autauga,Alabama,01,001,01001,42438,47.6,45.4,49.4,20181,35.8,34.2,37.3,15193,7.9,7.2,8.7,3345,8.6,7.3,9.9,3644,12.9,11.9,13.8,5462,3.1,2.9,3.3,1326,3,AL
Baldwin,Alabama,01,003,01003,170912,40.2,38.2,42.3,68790,29.7,28.4,31,50761,7.8,7,8.7,13414,8.6,7.2,10.1,14692,12,11,13.1,20520,3.2,3,3.5,5479,4,AL
Barbour,Alabama,01,005,01005,19689,57.5,55.6,59.1,11325,40.7,39.5,41.9,8013,11,10.1,11.8,2159,12.1,10.7,13.3,2373,19.7,18.6,20.6,3870,4.5,4.2,4.8,887,6,AL
Bibb,Alabama,01,007,01007,17813,51.6,49.6,53.4,9190,38.7,37.4,40.2,6894,8.6,7.9,9.3,1533,10,8.8,11.3,1789,14.1,13.2,14.9,2511,3.3,3.1,3.6,595,2,AL
Blount,Alabama,01,009,01009,44448,46.3,44.3,48.4,20584,34,32.4,35.5,15112,9.2,8.4,10.1,4101,10.5,9.1,12,4661,13.5,12.6,14.5,6017,3.4,3.2,3.7,1507,2,AL
Bullock,Alabama,01,011,01011,8001,60.7,58.6,62.6,4853,45.8,44.2,47.4,3664,10,9.3,10.8,804,10.9,9.6,12.1,873,20.6,19.4,21.9,1651,4.5,4.2,4.8,360,6,AL
Butler,Alabama,01,013,01013,15302,58.1,56.2,59.7,8891,41.2,39.8,42.5,6304,10.4,9.6,11.2,1588,11.4,10,12.7,1741,18.6,17.5,19.5,2841,4.3,4.1,4.6,662,6,AL
Calhoun,Alabama,01,015,01015,89582,53.6,51.6,55.5,48041,40.9,39.4,42.3,36639,9.1,8.3,9.9,8146,10.2,8.9,11.7,9158,14.7,13.6,15.7,13182,3.6,3.3,3.8,3204,4,AL
Chambers,Alabama,01,017,01017,26623,55.7,54.2,57.4,14836,39.1,37.7,40.4,10410,9.8,9.1,10.6,2618,10.8,9.6,12,2870,17.5,16.6,18.5,4664,4,3.8,4.2,1068,5,AL
Cherokee,Alabama,01,019,01019,21042,55.9,53.7,58.1,11769,39.1,37.3,41,8227,10.8,9.8,12,2282,12.1,10.4,13.9,2540,15.9,14.7,17.2,3353,3.9,3.6,4.2,814,6,AL
Chilton,Alabama,01,021,01021,33662,56.2,54.2,58.1,18925,40.4,38.9,41.9,13599,9.4,8.7,10.4,3181,10.9,9.6,12.5,3672,15.2,14.2,16.2,5115,3.5,3.3,3.8,1185,2,AL
Choctaw,Alabama,01,023,01023,10274,57.2,55.4,58.8,5876,42.9,41.4,44.3,4408,11,10.2,11.9,1135,11.8,10.5,13.2,1212,19.2,18.1,20.3,1976,4.5,4.2,4.8,464,6,AL
Clarke,Alabama,01,025,01025,18725,57.4,55.7,58.9,10741,40.5,39.2,41.7,7584,10.7,9.9,11.5,2003,11.5,10.3,12.8,2161,19.1,18.1,20.1,3575,4.3,4.1,4.6,811,6,AL
Clay,Alabama,01,027,01027,10587,52.7,50.5,54.6,5575,35.9,34.3,37.4,3801,10.6,9.7,11.6,1117,12.2,10.6,13.8,1287,16.4,15.3,17.4,1732,4,3.7,4.3,418,6,AL
Cleburne,Alabama,01,029,01029,11575,51.5,49.1,53.7,5959,37.1,35.3,38.8,4294,9.9,8.9,10.9,1146,11.5,9.8,13.2,1332,14.4,13.2,15.6,1665,3.6,3.3,3.9,416,6,AL
Coffee,Alabama,01,031,01031,39629,51.9,49.9,53.8,20571,36,34.5,37.4,14266,8.2,7.5,9,3258,9,7.8,10.3,3564,14.1,13.2,15,5596,3.3,3.1,3.5,1302,5,AL
Colbert,Alabama,01,033,01033,43392,54.4,52.4,56.4,23618,38,36.3,39.6,16489,9.4,8.6,10.3,4065,10.3,9,11.8,4484,14.8,13.8,15.8,6429,3.6,3.3,3.8,1542,4,AL
Conecuh,Alabama,01,035,01035,9727,59.3,57.8,60.9,5764,43.2,41.9,44.5,4202,11.7,10.9,12.6,1139,12.7,11.5,14,1239,20.5,19.5,21.6,1994,4.8,4.5,5.1,464,6,AL
Coosa,Alabama,01,037,01037,8938,57.2,55.4,59,5115,41,39.6,42.6,3665,11.2,10.2,12.1,997,12,10.6,13.5,1075,18.6,17.5,19.6,1662,4.3,4,4.6,385,5,AL
Covington,Alabama,01,039,01039,28897,51.7,49.7,53.7,14939,37.6,36.1,39.3,10865,10.3,9.4,11.3,2983,11.1,9.6,12.7,3202,15.8,14.7,16.9,4557,3.8,3.5,4.1,1096,6,AL
Crenshaw,Alabama,01,041,01041,10664,52.7,50.8,54.6,5616,36.6,35.1,38.1,3903,9.8,9,10.7,1050,11.1,9.7,12.6,1184,16.4,15.3,17.4,1745,3.9,3.6,4.1,411,6,AL
