state,county,fips,comorb_RR,comorb_OR
Alabama,Autauga,01001,1,1
Alabama,Baldwin,01003,1,1
Alabama,Barbour,01005,1,1
Alabama,Bibb,01007,1,1
Alabama,Blount,01009,1,1
Alabama,Bullock,01011,1,1
Alabama,Butler,01013,1,1
Alabama,Calhoun,01015,1,1
Alabama,Chambers,01017,1,1
Alabama,Cherokee,01019,1,1
Alabama,Chilton,01021,1,1
Alabama,Choctaw,01023,1,1
Alabama,Clarke,01025,1,1
Alabama,Clay,01027,1,1
Alabama,Cleburne,01029,1,1
Alabama,Coffee,01031,1,1
Alabama,Colbert,01033,1,1
Alabama,Conecuh,01035,1,1
Alabama,Coosa,01037,1,1
Alabama,Covington,01039,1,1
Alabama,Crenshaw,01041,1,1
Alabama,Cullman,01043,1,1
Alabama,Dale,01045,1,1
Alabama,Dallas,01047,1,1
Alabama,DeKalb,01049,1,1
Alabama,Elmore,01051,1,1
Alabama,Escambia,01053,1,1
Alabama,Etowah,01055,1,1
Alabama,Fayette,01057,1,1
Alabama,Franklin,01059,1,1
Alabama,Geneva,01061,1,1
Alabama,Greene,01063,1,1
Alabama,Hale,01065,1,1
Alabama,Henry,01067,1,1
Alabama,Houston,01069,1,1
Alabama,Jackson,01071,1,1
Alabama,Jefferson,01073,1,1
Alabama,Lamar,01075,1,1
Alabama,Lauderdale,01077,1,1
Alabama,Lawrence,01079,1,1
Alabama,Lee,01081,1,1
Alabama,Limestone,01083,1,1
Alabama,Lowndes,01085,1,1
Alabama,Macon,01087,1,1
Alabama,Madison,01089,1,1
Alabama,Marengo,01091,1,1
Alabama,Marion,01093,1,1
Alabama,Marshall,01095,1,1
Alabama,Mobile,01097,1,1
Alabama,Monroe,01099,1,1
Alabama,Montgomery,01101,1,1
Alabama,Morgan,01103,1,1
Alabama,Perry,01105,1,1
Alabama,Pickens,01107,1,1
Alabama,Pike,01109,1,1
Alabama,Randolph,01111,1,1
Alabama,Russell,01113,1,1
Alabama,St. Clair,01115,1,1
Alabama,Shelby,01117,1,1
Alabama,Sumter,01119,1,1
Alabama,Talladega,01121,1,1
Alabama,Tallapoosa,01123,1,1
