"State","ifr_new","ifr_OR"
"Massachusetts",0.00813458996411932,2.0303544437587
"Pennsylvania",0.00648906339716711,1.616956378349
"Connecticut",0.00638755082091024,1.59149868140752
"Minnesota",0.0061893395068257,1.5418055111283
"New Hampshire",0.00606225510400483,1.50995485692942
"Ohio",0.0060576865981982,1.50881002230087
"Indiana",0.00581020810798131,1.44680941868316
"Iowa",0.00547449698113622,1.36275327712069
"Wisconsin",0.0054292336635977,1.35142448241654
"Rhode Island",0.00537810344400127,1.33862852190776
"Missouri",0.00537337979479948,1.3374464375187
"Kentucky",0.00531831002440112,1.32366615877111
"Idaho",0.0052884490739248,1.31619459889136
"Virginia",0.00487177956157143,1.21198578334281
"Montana",0.00481353740379079,1.19742640294081
"West Virginia",0.00476272565038515,1.18472586758813
"Michigan",0.00468981087188125,1.16650288683282
"Kansas",0.00462539742267416,1.15040679323237
"Oregon",0.00462064481102953,1.14921925915121
"Washington",0.00457855764285819,1.13870344205903
"South Carolina",0.00449808215952575,1.11859847157269
"Colorado",0.0044697171219976,1.11151288636492
"South Dakota",0.00446584597358122,1.11054590496239
"New Jersey",0.00445014850700036,1.10662488250209
"Florida",0.00438395749530838,1.09009259077525
"Maine",0.00437310219998526,1.08738151238577
"Arkansas",0.00424630011222589,1.055717438282
"Illinois",0.0041218175183122,1.0246404144076
"North Dakota",0.00402625428223939,1.00078836620471
"Maryland",0.00393138388524122,0.9771137738508
"New York",0.00389956014118447,0.969173274340824
"Oklahoma",0.00389227875940674,0.96735653214583
"Alabama",0.0038082284742843,0.94638747645069
"Wyoming",0.0037613950833916,0.934704910939788
"Tennessee",0.00374605610902598,0.930878850379377
"North Carolina",0.00370088957807624,0.919613469539098
"Nebraska",0.00369094190023194,0.917132469165245
"Vermont",0.00365849798012839,0.909041138264356
"Delaware",0.00361558028415357,0.898338516220137
"Mississippi",0.00355899989333622,0.884230161678713
"Louisiana",0.00343671069037651,0.853742748297902
"Utah",0.00324159678270026,0.805115199853523
"Georgia",0.00323207589984524,0.802742831069904
"Nevada",0.00316295025951344,0.78551978826153
"Hawaii",0.00313759419597045,0.779202780926484
"California",0.00307751061930173,0.764235320961607
"Alaska",0.00299476415257281,0.743625246301191
"District of Columbia",0.0028917140981909,0.717962838628897
"Texas",0.00288526420517445,0.716356807383491
"Puerto Rico",0.00287565735517091,0.713964728509639
"Arizona",0.00259723952864433,0.644659485115909
"New Mexico",0.00230648362304846,0.572324271621499
