cases,deaths,fraction.positive,date
1,0,0,2020-03-01
0,0,0.2857142857142857,2020-03-02
1,0,0.16326530612244897,2020-03-03
2,0,0.10884353741496598,2020-03-04
8,0,0.11721611721611722,2020-03-05
14,0,0.19315895372233402,2020-03-06
44,0,0.27012987012987016,2020-03-07
19,0,0.41450777202072536,2020-03-08
5,0,0.4088269454123113,2020-03-09
14,0,0.33528616493916186,2020-03-10
22,0,0.2891237640640982,2020-03-11
29,0,0.24870466321243523,2020-03-12
61,0,0.1717791411042945,2020-03-13
73,0,0.11755794576579306,2020-03-14
68,0,0.09274277396548138,2020-03-15
150,0,0.08410636982065553,2020-03-16
249,0,0.08229518711300787,2020-03-17
259,2,0.08865471233109544,2020-03-18
277,1,0.08997520368402409,2020-03-19
388,2,0.0926839209292847,2020-03-20
320,2,0.09698816631748054,2020-03-21
286,4,0.10376929375018953,2020-03-22
608,6,0.11111751152073734,2020-03-23
717,9,0.12074001947419669,2020-03-24
744,7,0.1334829464431821,2020-03-25
934,9,0.14760229137090047,2020-03-26
943,15,0.16738118793741527,2020-03-27
655,15,0.18086099688102186,2020-03-28
523,25,0.2000122782245687,2020-03-29
1236,27,0.21320129610077546,2020-03-30
1265,28,0.2145888322032475,2020-03-31
1335,36,0.22435497943412686,2020-04-01
1279,41,0.23845425171612833,2020-04-02
1480,38,0.24210182931419538,2020-04-03
1162,38,0.25018104572007915,2020-04-04
975,68,0.2693438403454627,2020-04-05
1932,80,0.27905899083998126,2020-04-06
2024,71,0.26691580318215274,2020-04-07
1866,100,0.27781906443673254,2020-04-08
1983,112,0.2816995804600156,2020-04-09
2054,108,0.2899729943291265,2020-04-10
1297,120,0.2891185871847632,2020-04-11
930,114,0.3011817865832464,2020-04-12
2004,163,0.3060279479023247,2020-04-13
2872,121,0.28910878139982815,2020-04-14
2601,175,0.29052244786271325,2020-04-15
2387,174,0.2877982626544001,2020-04-16
3007,169,0.28513474355259344,2020-04-17
1480,168,0.2809962730491669,2020-04-18
1089,176,0.29177178180603125,2020-04-19
2699,172,0.29370363325090354,2020-04-20
2199,161,0.2718000117917575,2020-04-21
2717,152,0.2488853118712274,2020-04-22
2417,191,0.24121272181103096,2020-04-23
2281,198,0.23884571168424254,2020-04-24
1497,148,0.21768568173964234,2020-04-25
847,152,0.22625406696203157,2020-04-26
2124,161,0.2261245868254696,2020-04-27
2109,143,0.1999094998536027,2020-04-28
2185,165,0.1950651663619935,2020-04-29
2052,143,0.18061356279038565,2020-04-30
2086,177,0.17306405649857512,2020-05-01
1038,142,0.16413231736701228,2020-05-02
734,137,0.16772780127740608,2020-05-03
1889,133,0.17269069273089568,2020-05-04
1743,137,0.15538683683450552,2020-05-05
1711,138,0.1478383510483229,2020-05-06
1695,130,0.14019874882614847,2020-05-07
1464,109,0.13442620422703544,2020-05-08
687,105,0.12733114587496783,2020-05-09
387,123,0.13525638295153472,2020-05-10
1315,126,0.13734939759036144,2020-05-11
1458,114,0.11894466668208195,2020-05-12
1334,112,0.11380266979992819,2020-05-13
1324,98,0.10733228124532473,2020-05-14
1113,117,0.10246420695995424,2020-05-15
657,86,0.09784102438961739,2020-05-16
373,81,0.10497772612822001,2020-05-17
1321,90,0.10685892054713345,2020-05-18
1091,73,0.09485433977375111,2020-05-19
1032,81,0.08969510441682794,2020-05-20
997,64,0.08626349622417774,2020-05-21
879,81,0.08404431346205704,2020-05-22
394,69,0.08324416266695944,2020-05-23
304,57,0.08865714358539276,2020-05-24
201,63,0.0911269349141994,2020-05-25
888,70,0.07528666728150264,2020-05-26
719,61,0.07433178574397094,2020-05-27
662,51,0.07154387919827426,2020-05-28
540,57,0.06951965815636338,2020-05-29
276,56,0.06546248993147888,2020-05-30
171,55,0.06904609644335673,2020-05-31
530,33,0.06792732738780913,2020-06-01
459,47,0.06797676652512322,2020-06-02
482,44,0.05507409245458684,2020-06-03
398,40,0.05285280198198007,2020-06-04
341,25,0.05018527345131382,2020-06-05
149,41,0.0476721262943534,2020-06-06
151,35,0.04976641258913203,2020-06-07
374,32,0.051394274452592106,2020-06-08
253,19,0.042242305561350266,2020-06-09
82,0,0.03939748263291836,2020-06-10
1,0,0.035851446210011954,2020-06-11
